Pachastrella monilifera
Neoitamus socius
Eurrhypara hortulata
Empis aestiva
Empis albinervis
Harpacticus chelifer
Thyreosthenius parasiticus
Aploparaksis filum
Cryptocephalus decemmaculatus
Islandiana princeps
Perlodes dispar
Empis borealis
Ursus arctos
Empis chioptera
Amphiblestrum flemingii
Monosoma pulveratum
Cecropis daurica
Paraeuchaeta norvegica
Monospilus dispar
Ursus maritimus
Silvanoprus fagi
Silvanus bidentatus
Diura bicaudata
Diura nanseni
Pyrgus alveus
Olophrum rotundicolle
Pyrgus andromedae
Hirella gracilis
Chlorochroa juniperina
Thyridanthrax fenestratus
Chlorochroa pinicola
Hyles gallii
Arnoglossus laterna
Pyrgus centaureae
Dytiscus lapponicus
Dytiscus latissimus
Aethes cnicana
Empis hyalipennnis
Cedestis gysseleniella
Dytiscus marginalis
Cedestis subfasciella
Aethes deutschiana
Bena bicolorana
Hyles livornica
Aethes dilucidana
Dytiscus semisulcatus
Aethes hartmanniana
Aethes kindermanniana
Pyrgus malvae
Empis livida
Empis lucida
Aethes margaritana
Cumella pygmaea
Triaxomera fulvimitrella
Triaxomera parasitella
Aethes rubigana
Aethes rutilana
Aethes smeathmanniana
Microphor holosericus
Dziedzickia marginata
Aethes triangulana
Empis nigripes
Dictyoptera aurora
Chloroclysta citrata
Chloroclysta infuscata
Epirrhoe tristata
Chloroclysta miata
Empis pennipes
Chloroclysta siterata
Aplota palpellus
Dolichovespula media
Chloroclysta truncata
Aplotarsus incanus
Empis planetica
Diurnea fagella
Diurnea lipsiella
Allacma fusca
Arocephalus punctum
Macrolophus nubilus
Rhabdopleura normani
Dolichovespula norwegica
Coturnix coturnix
Lophogaster typicus
Monosynamma bohemanni
Mendicula ferruginosa
Tropidomya abbreviata
Empis staegeri
Mendicula pygmaea
Empis stercorea
Eucarta virgo
Hylesinus fraxini
Empis syrovatkai
Neoleanira tetragona
Tribolium castaneum
Empis tessellata
Cladius pectinicornis
Aroga velocella
Tribolium confusum
Hylesinus oleiperda
Testudinella incisa
Tribolium destructor
Harpalus affinis
Testudinella patina
Eana argentana
Leptocerus tineiformis
Lophohelia prolifera
Chloroclystis v-ata
Eana incanana
Hylesinus varius
Aromia moschata
Eana osseana
Eana penziana
Cunctochrysa albolineata
Eanus costalis
Aplysia punctata
Patina pellucida
Allajulus nitidus
Earias clorana
Aplysilla sulfurea
Protula tubularia
Hepialus humuli
Harpalus distinguendus
Pernis apivorus
Anoplodera sanguinolenta
Phimodera lapponica
Isochnus foliorum
Microplana terrestris
Ochthephilum fracticorne
Isochnus populicola
Xysticus audax
Acompsia cinerella
Xysticus bifasciata
Portunus depurator
Speolepta leptogaster
Harpalus griseus
Calocoris alpestris
Hylis cariniceps
Xysticus cristatus
Calocoris fulvomaculatus
Hylis foveicollis
Hylis procerulus
Calocoris norvegicus
Portunus holsatus
Xysticus durus
Calocoris roseomaculatus
Psoricoptera gibbosella
Dixa nebulosa
Psoricoptera speciosella
Calocoris sexguttatus
Calocoris striatellus
Philonthus nitidulus
Harpalus laevipes
Harpalus latus
Philonthus nitidus
Allandrus undulatus
Harpalus luteicornis
Lophomma puncatum
Appendisotoma abiskoensis
Plateumaris affinis
Pyrochroa coccinea
Plateumaris braccata
Portunus pusillus
Allantactis parasitica
Allanthalia pallida
Urticina felina
Plateumaris discolor
Glossosoma nylanderi
Pachycnemia hippocastanaria
Dixella amphibia
Plateumaris sericea
Proutia norvegica
Dixella nigra
Dixella obscura
Cicindela maritima
Nemoura arctica
Harpalus quadripunctatus
Celaena haworthii
Harpalus rubripes
Strix aluco
Amphicteis gunneri
Harpalus rufipes
Monotoma angusticollis
Platichthys flesus
Microplontus rugulosus
Monotoma bicolor
Monotoma brevicollis
Xysticus ulmi
Monotoma conicicollis
Platypalpus maculipes
Monotoma longicollis
Vipera berus
Monotoma picipes
Amphictene auricoma
Phisidia aurea
Harpalus smaragdinus
Strix nebulosa
Porzana porzana
Harpalus solitaris
Myrmus miriformis
Aricia nicias
Hylobius abietis
Anchomenus dorsalis
Staurophora celsia
Arpedium quadrum
Erebia disa
Monotoplana rufifrons
Harpalus tardus
Littorina obtusata
Amphicyllis globus
Erebia embla
Similipecten greenlandicus
Notaris acridulus
Notaris aethiops
Strix uralensis
Similipecten similis
Calodera aethiops
Heptagenia dalecarlica
Calodera lapponica
Urytalpa ochracea
Glossus humanus
Notaris scirpi
Hylobius pinastri
Heptagenia fuscogrisea
Allantus calceatus
Harpalus xanthopus
Calodera riparia
Allantus cinctus
Heptagenia joernensis
Allantus cingulatus
Lophophanes cristatus
Arpidiphorus orbiculatus
Stauropus fagi
Allantus rufocinctus
Allantus togatus
Heptagenia sulphurea
Allantus truncatus
Lumbricus rubellus
Patrobus assimilis
Patrobus atrorufus
Eurycare None
Patrobus septentrionis
Heptamelus dahlbomi
Acidia cognata
Leptochiton alveolus
Ebaeus lapplandicus
Leptochiton arcticus
Leptochiton asellus
Saigusaia flaviventris
Evergestis extimalis
Erebia ligea
Ebala nitidissima
Lophopilio palpinalis
Limnoporus rufoscutellatus
Tethea ocularis
Evergestis forficalis
Calodromius spilotus
Tethea or
Harpella forficella
Hirudo medicinalis
Bothrynoderes affinis
Oreodytes alpinus
Tetheella fluctuosa
Alle alle
Leptochiton sarsi
Aetideus armatus
Platorchestia platensis
Celastrina argiolus
Oreodytes sanmarkii
Coelophthinia thoracica
Euchaeta acuta
Lepthyphantes whymperi
Parus caeruleus
Paragorgia arborea
Riparia riparia
Euchaeta hebes
Eurycercus lamellatus
Menestho truncatula
Euchaeta norvegica
Cardiomya costellata
Gari costulata
Erebia pandrose
Gari depressa
Chionodes continuella
Noterus clavicornis
Gari fervensis
Limnosida frontosa
Noterus crassicornis
Simocephalus expinosus
Bothynosus pilosus
Tethya aurantium
Thysanoessa inermis
Virbius varians
Erebia polaris
Simocephalus serrulatus
Thysanoessa raschi
Tethya cranium
Simocephalus vetula
Empoasca populi
Harpinia antennaria
Harpinia crenulata
Harpinia laevis
Harpinia pectinata
Myrrha octodecimguttata
Gari tellinella
Hirundo rustica
Prunella modularis
Alleotomus gothicus
Cardiophorus atramentarius
Ilybius wasastjernae
Benthosema glaciale
Tricellaria ternata
Limobius borealis
Cryptocephalus querceti
Tropiphorus elevatus
Gluphisia crenata
Afghanurus joernensis
Tropiphorus obtusus
Acidostoma nodiferum
Acidostoma obesum
Acidota crenata
Cardiophorus ruficollis
Acidota cruentata
Ampelisca typica
Acidota quadrata
Steatoda albomaculata
Steatoda bipunctata
Cyrnus flavidus
Eurycope cornuta
Dochmonota clancula
Cyrnus insolutus
Dochmonota rudiventris
Cyrnus trimaculatus
Paragus finitimus
Psyche casta
Sceptonia fumipes
Sceptonia fuscipalpis
Paragus haemorrhous
Sceptonia nigra
Sceptonia regni
Sceptonia tenuis
Paragus majoranae
Eurycope mutica
Chionodes lugubrella
Tropistethus holosericeus
Paragus tibialis
Dias bifilosus
Lophosia fasciata
Coccidula rufa
Dicymbium nigrum
Dicymbium tibiale
Pica pica
Trophomera rotundicauda
Macronectes giganteus
Rhacognathus punctatus
Coelosia flava
Platycampus luridiventris
Coelosia fusca
Glycera alba
Coelosia limpida
Coelosia silvatica
Rhinoncus castor
Coelosia tenella
Coelosia truncata
Montacuta ferruginea
Montacuta ferruginosa
Glycera capitata
Apoda limacodes
Latithorax obtusus
Olethreutes arcuella
Montacuta substriata
Montacuta tenella
Montacuta voeringi
Acilius canaliculatus
Glycera lapidum
Beraea pullata
Rissa tridactyla
Dicyrtoma atra
Dicyrtoma fusca
Leptoclinus maculatus
Beraeodes minutus
Schaefferia willemi
Dicyrtoma ornata
Aricidea cerrutii
Eurydema oleracea
Glycera rouxii
Troschelia berniciensis
Dicyrtomina minuta
Grammaria abietina
Dicyrtomina saundersi
Empria alector
Empria baltica
Sciurus vulgaris
Empria candidata
Empria fletcheri
Empria immersa
Empria klugii
Latona setifera
Empria liturata
Hister bissexstriatus
Empria longicornis
Thereva valida
Empria pumila
Empria tridens
Oreonetides vaginatus
Anthus petrosus
Didea alneti
Chaetarthria seminulum
Pyropterus nigroruber
Didea intermedia
Docosia fumosa
Potamilla neglecta
Docosia gilvipes
Tetracanthella arctica
Tetracanthella brachyura
Potamilla reniformis
Tetracanthella britannica
Lophius piscatorius
Tetracanthella fjellbergi
Amphihelia ramea
Calonectris diomedea
Tetracanthella pilosa
Henricia oculata
Rissoa inconspicua
Psychoides verhuella
Tetracanthella strenzkei
Tetracanthella wahlgreni
Ptinus rufipes
Matilella fusca
Micropterix aruncella
Micropterix aureatella
Rissoa lilacina
Stroggylocephalus livens
Eurygaster maura
Micropterix calthella
Apodemus flavicollis
Eurygaster testudinaria
Dendrocoelum lacteum
Coccinella hieroglyphica
Rissoa membranacea
Cybosia mesomella
Virgularia mirabilis
Amphilepis norvegica
Dodecaceria concharum
Latridius anthracinus
Latridius consimilis
Micropterix mansuetella
Latridius hirtus
Pachygnatha clercki
Latridius minutus
Pachygnatha degeeri
Simplocaria semistriata
Latridius nidicola
Latridius pseudominutus
Apodemus sylvaticus
Pachygnatha listeri
Rissoa parva
Micropterix tunbergella
Acinia corniculata
Micropterna lateralis
Coelostoma orbiculare
Micropterna sequax
Psychophora sabini
Selandria serva
Trox sabulosus
Phoenicurus ochruros
Trox scaber
Myrtea spinifera
Apoderus coryli
Crataraea suturalis
Rhadicoleptus alpestris
Rissoa violacea
Aricidea simonae
Dendrocopos leucotos
Archips oporana
Ptinus villiger
Botryllus schlosseri
Garrulus glandarius
Dendrocopos major
Rissoella globularis
Selatosomus aeneus
Euchlanis incisa
Selatosomus cruciatus
Euchlanis meneta
Acronicta auricoma
Selatosomus impressus
Pyrrhalta viburni
Hartigia xanthostoma
Selatosomus melancholicus
Stegania dalmataria
Selatosomus nigricornis
Dendrocopos minor
Sminthurinus concolor
Inachis io
Isogenus nubecula
Pyrrhia umbra
Entephria flavicinctata
Anomala dubia
Pyrrhidium sanguineum
Neomenia carinata
Heteromastus filiformis
Brachystomia eulimoides
Phlegra fasciata
Platycerus caprea
Platycerus caraboides
Polia bombycina
Laubieropsis cabiochi
Hylotrupes bajulus
Inachus phalangium
Dasysyrphus albostriatus
Polia hepatica
Coenagrion armatum
Tibellus maritimus
Acronicta cinerea
Tibellus oblongus
Polia nebulosa
Olibrus aeneus
Coenagrion concinnum
Cardium ciliatum
Coenagrion hastulatum
Olibrus bimaculatus
Glycinde nordmanni
Platycheirus nielseni
Coenagrion johansoni
Coenagrion johanssoni
Platycheirus albimanus
Polia richardsoni
Coenagrion lunulatum
Mochlonyx velutinus
Platycheirus angustatus
Olibrus millefolii
Olibrus norvegicus
Fruticicola fruticum
Coenagrion puella
Coenagrion pulchellum
Platycheirus clypeatus
Montescardia tessulatellus
Coccinella undecimpunctata
Rhyncolus ater
Cardium echinatum
Platycheirus europaeus
Platycheirus fulviventris
Dendroctonus micans
Amphimallon solstitiale
Platycheirus granditarsis
Selenia dentaria
Colus islandicus
Euchoeca nebulata
Platycheirus immarginatus
Platycheirus jaerensis
Platycheirus kittilaensis
Parajassa pelagica
Platycheirus manicatus
Hylurgops glabratus
Selenia lunularia
Hylurgops palliatus
Euchone analis
Platycheirus peltatus
Microrhagus lepidus
Enallagma cyathigerum
Microrhagus pygmaeus
Selenia tetralunaria
Euchone incolor
Platycheirus ramsarensis
Platycheirus rosarum
Euchone papillosa
Archips xylosteana
Platycheirus scambus
Platycheirus scutatus
Euchone southerni
Calophasia lunula
Platycheirus tarsalis
Elachista subnigrella
Dendrodoa grossularia
Oligaphorura absoloni
Oligaphorura groenlandica
Oligaphorura schoetti
Oligaphorura ursi
Histrionicus histrionicus
Oligella foveolata
Coenobia rufa
Trichapion simile
Notholca labis
Hymedesmia levis
Rhadiurgus variablis
Hymedesmia paupertas
Hymedesmia similis
Hymedesmia thielei
Hymedesmia coriacea
Hercostomus aerosus
Strombocerus delicatulus
Arrhis phyllonyx
Cellepora pumicosa
Ylodes simulans
Rhaebothorax borealis
Rhaebothorax morulus
Rhaebothorax paetulus
Rhaebothorax sphagnicola
Hercostomus brevicornis
Oligia fasciuncula
Arrhopalites caecus
Arrhopalites cochlearifer
Hercostomus chetifer
Gulo gulo
Dendrodrilus rubidus
Gulo luscus
Coenocalpe lapidata
Arrhopalites principalis
Oligia latruncula
Arrhopalites secundarius
Amphinemura borealis
Platycis minuta
Oligia strigilis
Pristerognatha penthinana
Colus sarsi
Celleporella hyalina
Hercostomus metallicus
Mycomya fimbriata
Amphinemura standfussi
Amphinemura sulcicollis
Platycleis albopunctata
Pachymerium ferrugineum
Platycleis albopunctatus
Eurynome aspera
Cupido minimus
Stegobium paniceum
Aradus obtectus
Euchromius ocellea
Pyrrhosoma nymphula
Eremobia ochroleuca
Yoldia hyperborea
Salda littoralis
Stegocephalus inflatus
Macrophya albipuncta
Macrophya annulata
Dendroica coronata
Macrophya blanda
Chaetocnema aerosa
Sitona sulcifrons
Chaetocnema aridula
Yoldia nana
Selenodes karelica
Carduelis cannabina
Microscydmus minimus
Carduelis carduelis
Microscydmus nanus
Chaetocnema concinna
Pyrrhula pyrrhula
Monticola saxatilis
Macrophya montana
Phloeocharis subtilissima
Enargia paleacea
Carduelis chloris
Macrophya punctumalbum
Chaetocnema hortensis
Macrophya sanguinolenta
Stenopleustes malmgreni
Chaetocnema laevicollis
Pachynematus clitellatus
Macrophya teutona
Acipenser sturio
Carduelis flammea
Saldula c-album
Incurvaria circulella
Carduelis flavirostris
Saldula fucicola
Dasytes niger
Pachynematus obductus
Incurvaria masculella
Rhagio lineola
Carduelis hornemanni
Yoldiella frigida
Incurvaria oehlmaniella
Chaetocnema sahlbergii
Rhagio maculatus
Incurvaria pectinea
Harmothoe extenuata
Yoldiella intermedia
Incurvaria praelatella
Platycnemis pennipes
Saldula opacula
Yoldiella lenticula
Pachynematus vagus
Mysella bidentata
Nothorhina punctata
Yoldiella lenticulata
Coenonympha arcania
Yoldiella lucida
Saldula orthochila
Silometopus ambiguus
Incurvaria vetulella
Saldula pallipes
Enarmonia formosana
Yoldiella nana
Saldula palustris
Dendroica striata
Polinices montagui
Rhagio scolopaceus
Saldula pilosella
Yoldiella philippiana
Saldula saltatoria
Yoldiella solidula
Fissurisepta granulosa
Rhagio tringarius
Mysella sovaliki
Phloeonomus punctipennis
Mysella substriata
Phloeonomus pusillus
Phloeonomus sjobergi
Mysella tumidula
Hymenaphorura polonica
Hymenaphorura sibirica
Neomys fodiens
Phloeopara concolor
Phloeopara corticalis
Eremocoris abietis
Phloeopara testacea
Anomalocera patersoni
Mysia undata
Polinices pulchella
Polinices pulchellus
Macropipus pusillus
Lopus decolor
Rhagium bifasciatum
Eremocoris plebejus
Carduelis spinus
Silometopus reussi
Speudotettix subfusculus
Neomysis integer
Macropis europaea
Coenonympha hero
Rhagium inquisitor
Pheosia tremula
Picoides tridactylus
Salebriopsis albicilla
Phloeophagus turbatus
Neon reticulatus
Monopis spilotella
Orfelia nemoralis
Rhagium mordax
Phloeopora concolor
Phloeopora corticalis
Coenonympha pamphilus
Orfelia tristis
Phloeopora testacea
Orfelia unicolor
Alvania punctura
Ecclimadictyon microfastigatum
Archisotoma megalops
Ecclimadictyon microvesiculosum
Ecclimadictyon robustum
Chaetoderma nitidulum
Anurida ellipsoides
Laetmonice filicornis
Archisotoma quadrioculata
Coenonympha tullia
Dendrolimus pini
Gasterosteus aculeatus
Mysis flexuosa
Mysis inermis
Mysis litoralis
Oligolophus hanseni
Eristalis lineata
Oligolophus tridens
Mysis oculata
Coenophila subrosea
Mysis relicta
Nothria conchylega
Rivula sericealis
Macropodia rostrata
Nothris verbascella
Trichia hispida
Coprophilus striatulus
Tachinus corticinus
Tachinus elegans
Tachinus elongatus
Tachinus fimetarius
Tetragnatha extensa
Gasteruption jaculator
Euclidia glyphica
Tachinus laticollis
Euclidia mi
Salicarus roseri
Tachinus lignorum
Tachinus marginatus
Tachinus marginellus
Phloeostiba lapponica
Phloeostiba lapponicus
Dolerorthis plicata
Phloeostiba plana
Phloeostiba planus
Dolerorthis sowerbyiana
Tachinus pallipes
Mystacides azurea
Tachinus proximus
Mystacides azureus
Tachinus rufipennis
Tachinus rufipes
Mystacides longicornis
Mystacides niger
Lauria cylindracea
Tachinus signatus
Tachinus subterraneus
Orgyia antiqua
Yponomeuta cagnagella
Tetragnatha montana
Dolerus aeneus
Leptodora kindti
Dolerus aericeps
Yponomeuta evonymella
Rhagonycha atra
Dolerus asper
Kophobelemnon stelliferum
Tetragnatha obtusa
Dolerus bimaculatus
Amphipholis squamata
Dolerus cothurnatus
Yponomeuta malinellus
Dolerus elderi
Tetragnatha pinicola
Rhagonycha elongata
Dolerus ferrugatus
Acleris abietana
Hauchiella tribullata
Dolerus germanicus
Euclymene droebachiensis
Yponomeuta padella
Rhagonycha fulva
Dolerus gessneri
Gastrallus immarginatus
Dolerus gonager
Dolerus haematodes
Phloeotribus spinulosus
Heringia pubescens
Acleris arcticana
Eristalis oestracea
Eremophila alpestris
Yponomeuta sedella
Acleris aspersana
Dolerus madidus
Rhagonycha lignosa
Dolerus megapterus
Rhagonycha limbata
Acleris bergmanniana
Dolerus niger
Rhagonycha lutea
Dolerus nitens
Limonius aeneoniger
Dolerus picipes
Dolerus pratensis
Hofmannophila pseudospretella
Acleris comariana
Artediellus atlanticus
Dolerus subarcticus
Eurypon viride
Eucnecosum brachypterum
Schendyla nemorensis
Eucnecosum brunnescens
Tachybaptus ruficollis
Anomia ephippium
Rhagonycha testacea
Eucnecosum tenue
Euryporus picipes
Dolerus yukonensis
Acleris effractana
Acleris emargana
Lycia lapponaria
Eucnemis capucina
Pyrunculus ovatus
Limopsis aurita
Leptogaster cylindrica
Acleris ferrugana
Apolygus lucorum
Acleris fimbriana
Isomira murina
Tachycines asynamorus
Ypsolopha alpella
Ypsolopha asperella
Acleris forsskaleana
Anomia patelliformis
Limopsis cristata
Ypsolopha dentella
Macropsis cerea
Amphipoea crinanensis
Ypsolopha horridella
Amphipoea fucosa
Tetragoneura sylvatica
Ypsolopha lucella
Acleris hastiana
Ypsolopha nemorella
Amphipoea lucens
Ypsolopha parenthesella
Acleris holmiana
Macropsis fuscinervis
Paraleptophlebia cincta
Acleris hyemana
Ypsolopha sequella
Amphipoea oculea
Tryngites subruficollis
Ypsolopha sylvella
Anomia squama
Acleris implexana
Ypsolopha ustella
Ypsolopha vittella
Limopsis minuta
Artemiopsis stefanssoni
Macropsis infuscata
Acleris laterana
Paraleptophlebia strandii
Paraleptophlebia submarginata
Glyphanostomum pallescens
Phlogophora meticulosa
Acleris lipsiana
Acleris literana
Paraleptophlebia werneri
Acleris logiana
Geotrupes stercorarius
Acleris maccana
Paramphitrite birulai
Utelga pseudoheinckei
Apomatus similis
Paradrina clavipalpis
Dendronotus frondosus
Acleris notana
Aeshna caerluea
Acleris obtusana
Hecatera bicolorata
Potamophylax chaeopteryx
Potamophylax cingulatus
Potamophylax latipennis
Potamophylax nigricornis
Strongylocentrotus drobachiensis
Strongylocentrotus droebachiensis
Limosa haemastica
Notiophilus aquaticus
Limosa lapponica
Notiophilus biguttatus
Limosa limosa
Strongylocentrotus pallidus
Acleris rhombana
Notiophilus germinyi
Acleris roscidana
Potamopyrgus antipodarum
Curculio betulae
Acleris rufana
